sepal_length,sepal_width,species
4.3,3.0,setosa
4.4,3.0,setosa
5.6,3.0,versicolor
6.1,2.9,versicolor
5.5,2.3,versicolor
4.8,3.1,setosa
5.4,3.0,versicolor
5.5,3.5,setosa
5.5,2.5,versicolor
6.0,3.4,versicolor
5.1,2.5,versicolor
5.8,4.0,setosa
5.8,2.8,virginica
4.9,3.6,setosa
7.2,3.6,virginica
5.2,4.1,setosa
6.9,3.1,virginica
6.7,3.3,virginica
6.4,2.8,virginica
6.7,3.0,versicolor
7.7,3.8,virginica
4.6,3.1,setosa
6.4,2.9,versicolor
6.3,2.7,virginica
6.5,2.8,versicolor
6.4,2.8,virginica
6.7,3.0,virginica
7.7,2.6,virginica
5.1,3.8,setosa
5.3,3.7,setosa
5.0,2.3,versicolor
6.1,2.6,virginica
4.9,2.5,virginica
6.1,2.8,versicolor
7.7,3.0,virginica
5.7,3.0,versicolor
6.3,2.3,versicolor
4.7,3.2,setosa
4.8,3.0,setosa
6.2,2.9,versicolor
4.4,2.9,setosa
6.1,3.0,virginica
5.6,2.9,versicolor
6.6,2.9,versicolor
6.0,3.0,virginica
5.4,3.4,setosa
6.8,3.0,virginica
4.6,3.4,setosa
5.6,2.5,versicolor
5.1,3.8,setosa
4.9,3.1,setosa
6.2,2.8,virginica
4.5,2.3,setosa
6.3,2.8,virginica
5.9,3.2,versicolor
5.7,2.6,versicolor
6.5,3.0,virginica
5.6,3.0,versicolor
5.8,2.6,versicolor
6.7,3.1,virginica
6.4,3.2,versicolor
6.3,3.3,virginica
6.9,3.1,versicolor
5.2,3.4,setosa
5.4,3.4,setosa
4.8,3.4,setosa
7.3,2.9,virginica
5.1,3.5,setosa
5.7,2.9,versicolor
6.3,2.5,versicolor
5.7,2.8,versicolor
6.6,3.0,versicolor
7.2,3.2,virginica
4.9,2.4,versicolor
7.2,3.0,virginica
6.5,3.0,virginica
6.7,3.3,virginica
5.0,3.2,setosa
5.0,3.0,setosa
6.7,3.1,versicolor
7.1,3.0,virginica
5.4,3.9,setosa
4.4,3.2,setosa
7.6,3.0,virginica
6.4,3.1,virginica
4.9,3.0,setosa
6.3,2.9,virginica
5.8,2.7,versicolor
5.8,2.7,virginica
4.6,3.6,setosa
6.4,3.2,virginica
5.8,2.7,virginica
6.1,3.0,versicolor
7.0,3.2,versicolor
5.1,3.7,setosa
7.7,2.8,virginica
6.7,3.1,versicolor
5.5,2.4,versicolor
5.6,2.7,versicolor
6.5,3.0,virginica
